token,name,buy_utc,on_curve,graduated,copier_max_x,max_1h_x,min_1h_x,close_6h_x,hit_2x_min,hit_3x_min,hit_5x_min,his_realized_x,his_hold_min,his_sells,sold_frac
0xd2adda85ebe0e10b4d42cf5f9cc60a921af38176,CALL9,09-04 19:09,True,True,8.48,8.48,1.0,0.12,1.9,1.9,6.9,1.73,126.3,2,1.0
0xf4149f1c57f48763f7294c0d11892fde4deccd7f,0xf4149f,09-04 19:48,True,False,2.06,2.06,0.6,0.6,0.8,,,1.47,1.3,1,1.0
0x855fa71f9999c52990d5c14f08560bd4399966c4,0x855fa7,09-04 20:06,True,False,1.21,1.21,0.24,0.23,,,,0.27,0.5,1,1.0
0xd739a4eea203f5447e2adc444087e4c96dbb8f55,0xd739a4,09-04 20:09,True,False,2.21,2.21,1.09,1.19,3.5,,,,,0,0.0
0xf6657666d84f8232b18db21c3d9ba7d7faae7f11,Diem,09-04 20:23,True,True,4.58,4.58,0.77,4.52,0.6,0.9,,4.05,9.8,7,1.0
0x5656dc5fc6f57f432f69d33326ec66bf8c35b2cd,BLOB,09-04 20:34,True,True,15.32,15.32,0.71,0.56,0.2,1.5,5.6,5.71,14.4,7,1.0
0x430bd8beb084805ce443ffc3a7a4368fc7df4fef,RUFUS,09-04 20:50,True,True,4.84,4.84,0.94,4.49,0.9,1.2,,4.49,5.2,6,0.7
0x397d6ef4c99e47919459a80a855024e74179f6a2,0x397d6e,09-04 21:04,True,False,1.16,1.16,0.19,0.19,,,,,,0,0.0
0xbd36806b33401d43f03797bd37b8a8cced21e2ff,0xbd3680,09-04 21:05,True,False,1.31,1.31,0.57,0.57,,,,,,0,0.0
0x56e52e2706e6bdf152b9ac455e31a6f986b9596d,0x56e52e,09-04 21:06,True,False,1.25,1.25,0.68,0.68,,,,0.72,0.8,1,1.0
0x7f87d5dfd408445f543701b5f8135e02fddd85b6,0x7f87d5,09-04 21:07,True,False,3.16,3.16,1.0,0.98,0.4,1.2,,,,0,0.0
0x12f190a9f9d7d37a250758b26824b97ce941bf54,AMZN,09-04 21:09,False,True,1.01,1.01,1.0,1.01,,,,,,0,0.0
0xa8fb7e4de7a1d37e73ec9afc774bef472905868d,0xa8fb7e,09-04 21:13,True,False,1.63,1.63,0.71,0.71,,,,0.73,1.1,1,1.0
0xe759b3a15f0e92a65a1ded72ca26fb38ca19b476,0xe759b3,09-04 21:17,True,False,1.69,1.69,0.74,0.74,,,,0.98,0.6,1,1.0
0xbbdec80807f67f1a7e0c3c21ed4df985efda9e59,ENERGY,09-04 21:20,True,True,9.68,9.66,1.0,9.64,0.0,0.2,0.9,7.32,8.8,4,1.0
0xa3ea41fae7c66098160626942969689fbd94f795,WTF,09-04 21:27,True,True,1.88,1.88,0.98,1.76,,,,1.77,1.0,1,1.0
0x38469b9f0860d4654612d5e63f1a17722205e763,0x38469b,09-04 21:29,True,False,1.63,1.63,0.44,0.45,,,,,,0,0.0
0x91296e1f10eda45c4785abad85ab63c3d4b784e3,0x91296e,09-04 21:33,True,False,1.82,1.82,0.47,0.45,,,,0.9,0.6,1,1.0
0x4f94713e7b25cab3348119998262a31e3aa79867,Buck,09-04 21:43,True,True,2.48,2.47,0.57,2.48,11.7,,,2.46,90.9,9,0.86
0xad25ac6c84d497db898fa1e8387bf6af3532a1c4,BABA,09-04 21:45,False,True,1.01,1.01,1.0,1.0,,,,,,0,0.0
0x3d0c7a045b453049f5f2e304e51d72c7b1485a11,0x3d0c7a,09-04 21:46,True,False,1.99,1.99,0.73,0.73,,,,0.76,2.6,1,1.0
0xf23250dac154d05bb671cb0d0ebef3c635c79ce2,UPS,09-04 21:47,False,True,1.01,1.01,1.0,1.0,,,,,,0,0.0
0x7aca87164409e076be45e04aa112a7162f059ee2,0x7aca87,09-04 22:15,True,False,1.18,1.18,0.53,0.53,,,,0.6,0.6,1,1.0
0xbe039c155a4e2fa35d47baec6fc14739d13158c2,0xbe039c,09-04 22:22,True,False,1.42,1.42,0.73,0.74,,,,0.85,0.3,1,1.0
0xa2ae068f239d42a0f9450e2261d7cf13baf7d0db,0xa2ae06,09-04 22:23,True,False,1.06,1.06,0.56,0.57,,,,0.6,0.6,1,1.0
0x0668cddbb6c03480c6d9f992b5fcc7f2cb22c19a,TREKKING,09-04 22:46,False,True,1.47,1.47,0.26,0.23,,,,0.47,1.9,1,1.0
0x68ffa24f059370dcead36a2e3e979df3f863199d,0x68ffa2,09-04 22:49,True,False,1.81,1.81,1.04,1.02,,,,1.36,0.6,1,1.0
0xf8ed3ac4afbe52205d93e6bccd6f93755be15577,0xf8ed3a,09-04 22:49,True,False,1.32,1.32,0.25,0.25,,,,0.43,1.2,1,1.0
0x1b0e319c6a659f002271b69db8a7df2f911c153e,GME,09-04 22:53,False,True,1.02,1.02,1.0,1.02,,,,1.0,1192.3,1,0.2
0xcb992bea17273f19c30b28cf41fc70f75c935ff5,PEPE,09-04 22:54,True,True,1.29,1.29,0.14,0.13,,,,0.71,7.3,1,1.0
0x72ba0424416bb44621321a315c910233c20de990,0x72ba04,09-04 23:16,True,False,1.79,1.79,0.43,0.38,,,,0.91,4.7,1,1.0
0xfa89ed9d12bf74add8253ddfaa426c4d8a0fa603,SLINK,09-04 23:30,False,True,5.1,5.1,0.07,0.08,3.5,5.5,6.5,2.64,7.0,2,0.38
0xa4e5152945b7c311cbf494bd824b373fa834eb3d,0xa4e515,09-04 23:55,True,False,2.23,2.23,0.83,0.79,0.9,,,0.92,2.5,1,1.0
0x68d8a775635cac24f152bcc16bc812b360df1e18,LASEREYES,09-05 00:19,False,True,1.66,1.66,0.26,0.28,,,,,,0,0.0
0x1ae9d9dd973cf5b4c02e756e32e01db3ca3cb596,DROPSHIPOOR,09-05 00:25,True,True,2.99,2.99,0.01,0.9,47.5,,,0.65,2.5,1,1.0
0x96b4ab04ef52fe16c1dee87b7f7139e845259c9d,E,09-05 00:36,True,True,5.81,5.75,1.14,5.8,0.0,0.1,0.8,5.73,157.4,26,1.0
0x9882c283edcff1784adfbbdbd9b4ee9c29a45682,0x9882c2,09-05 00:52,True,False,1.66,1.66,0.92,0.92,,,,,,0,0.0
0x52172e429e6f0fa84eab02825cf13070a6aba3f0,0x52172e,09-05 00:53,True,False,2.27,2.27,0.51,0.5,1.7,,,0.98,3.2,1,1.0
0x2734f3f620f23afcbe0f339427054e3ae65e87e6,0x2734f3,09-05 00:54,True,False,4.49,4.49,0.85,0.81,1.2,2.0,,,,0,0.0
0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,USO,09-05 01:18,False,True,1.01,1.0,1.0,1.0,,,,,,0,0.0
0xbfd9aed2f823702e49792fce83c48228a62f14a7,0xbfd9ae,09-05 01:38,True,False,1.38,1.38,0.41,0.36,,,,,,0,0.0
0x94920d7589399823506d2c52fdbb8c243aa038ce,401K,09-05 02:18,False,True,1.01,1.01,1.0,1.0,,,,1.01,116.7,1,1.0
0x1983e90ba7ef929cbeea9232c53355af4a518256,CORG,09-05 02:21,True,True,3.06,3.06,0.37,0.37,0.3,2.5,,0.75,8.1,1,1.0
0xc921d5c2e7f91ce390e79638e5360ab7e540108e,0xc921d5,09-05 02:33,True,False,1.15,1.15,0.37,0.37,,,,0.53,1.6,1,1.0
0x4a0e65a3eccec6dbe60ae065f2e7bb85fae35eea,SPCX,09-05 02:37,False,True,1.02,1.0,1.0,1.0,,,,,,0,0.0
0x0dfc9428da70e407aa14a3dac0f38e89644781bc,0x0dfc94,09-05 02:40,True,False,1.73,1.73,0.21,0.21,,,,0.87,0.6,1,1.0
0x05b37fb53a299a1b874a619e1c4c404d52c36f4c,RDDT,09-05 02:41,False,True,1.01,1.0,0.98,0.98,,,,,,0,0.0
0x07817d88c4cefff360b52f7a1c0c37c0903205a0,HAIR,09-05 02:42,True,True,8.91,8.91,0.68,0.49,0.6,1.5,1.6,,,0,0.0
0xaf35e22016fa65ae71f07f917cc684104d090e14,0xaf35e2,09-05 02:50,True,False,1.28,1.28,0.5,0.5,,,,0.72,0.4,1,1.0
0xd981d328bf3abca49c9dcdadaa2e38e939957f37,0xd981d3,09-05 02:53,True,False,1.53,1.53,0.61,0.6,,,,0.81,5.6,1,1.0
0xf3918d97a8f86d251a6a36548a2c28a07caa17a6,0xf3918d,09-05 02:58,True,False,1.47,1.47,0.65,0.63,,,,0.82,1.0,1,0.52
0xcfbd01aabb1e1aa01d3bf589764fe9a34c7b2f4e,0xcfbd01,09-05 03:01,True,False,1.32,1.32,0.31,0.31,,,,0.39,2.0,1,1.0
0x12114b70d6dfc3a540e95f89c9fe7b09a2e19b5e,0x12114b,09-05 03:03,True,False,1.11,1.11,0.39,0.38,,,,,,0,0.0
0xc703386aede0ced4f53487dd50a83fa0be0a1b16,0xc70338,09-05 03:08,True,False,1.2,1.2,0.39,0.39,,,,0.46,4.5,1,1.0
0xf968b90c116ff210a6001e4ee8132ee1a6da4ac9,0xf968b9,09-05 03:08,True,False,1.19,1.19,0.35,0.34,,,,0.69,4.3,1,1.0
0x85103f35866820859eb9a7a8d01928f2b5cda7a3,0x85103f,09-05 03:19,True,False,2.59,2.59,0.94,0.71,2.4,,,0.72,95.8,1,1.0
0x6033fdb963073f11c75c805b77efcc2ccf5102b2,AGI,09-05 03:27,True,True,3.38,3.38,0.5,0.48,0.6,1.0,,1.18,3.3,1,1.0
0xb0c0305c39d6cdc84ecad4f77b56c0b7a7ed8159,0xb0c030,09-05 03:39,True,False,1.64,1.64,0.6,0.6,,,,0.93,1.4,1,1.0
0xed1dacae450cc063fd0972081edd3bcfba9ad763,0xed1dac,09-05 03:41,True,False,1.76,1.76,0.23,0.23,,,,0.38,4.5,1,1.0
0xac3d4ea57cbcd9d2605525e70036c98f0618a56e,motion,09-05 03:47,True,True,3.61,3.61,0.62,3.2,2.6,3.4,,3.2,68.2,14,1.0
0x3ed2903cac33f5c130dec023b61c9a728327b686,HOOD,09-05 03:57,True,True,4.54,4.54,0.75,0.65,0.4,1.6,,1.11,6.7,2,1.0
0xbf54bc30b3b19102b4da1422e87850cb49e93ad1,0xbf54bc,09-05 04:08,True,False,1.78,1.78,0.77,0.77,,,,0.88,6.6,1,1.0
0xbf1aa1633809df21362643702d8dcff4650c76cf,0xbf1aa1,09-05 05:25,True,False,1.49,1.49,0.79,0.76,,,,0.87,0.8,1,1.0
0x0491707d976e40a21352a16475c913f811845904,0x049170,09-05 05:30,True,False,1.45,1.45,0.31,0.32,,,,0.9,3.6,1,1.0
0xc30d96a85f2b9bf58f7f40bc3f553e9fd30a3bee,0xc30d96,09-05 05:35,True,False,1.56,1.56,0.21,0.2,,,,0.48,3.2,1,1.0
0x868b37536b260fa6f9a72058ea0126f9efbd4a68,0x868b37,09-05 05:42,True,False,1.4,1.4,0.62,0.56,,,,0.89,1.0,1,1.0
0xaae3f91582ea450d30ae8af3215b4fc10a5bd2da,0xaae3f9,09-05 05:44,True,False,1.53,1.53,0.61,0.6,,,,,,0,0.0
0xa24ca2f8b6590606e958e0575fced57ec19dd6da,0xa24ca2,09-05 05:48,True,False,4.12,4.12,0.71,0.72,0.7,1.1,,,,0,0.0
0xf80396162f9c8ee53d530be97b3b3886c27c9aef,噜噜,09-05 05:56,False,True,1.01,1.01,1.0,1.01,,,,,,0,0.0
0x4e62068525ab11fe768e29dfd00ef909b9803016,LULU,09-05 06:47,False,True,1.01,1.01,1.0,1.01,,,,,,0,0.0
0xfa6701aea718eddaaaf266591ecd6889006329b5,0xfa6701,09-05 15:33,True,False,1.29,1.29,0.7,0.7,,,,0.89,1.6,1,1.0
0x74d1a1d656211e610a14c13cf4314a880274f0a8,0x74d1a1,09-05 15:40,True,False,4.49,4.49,0.78,0.77,0.5,1.0,,0.78,5.6,1,1.0
0xb6e3bf8d0abd163abab1bbba4b28dfbc57bb9d41,0xb6e3bf,09-05 15:48,True,False,1.22,1.22,0.39,0.3,,,,0.95,0.6,1,1.0
0x3d5058703c1387b40eae4bc8e287bac43d820b5d,XI,09-05 15:56,True,True,4.1,4.1,0.34,0.33,2.9,4.1,,2.44,27.5,3,0.42
0x709b429bcca84b00928f45431824737c54d8a0c8,0x709b42,09-05 16:31,True,False,1.03,1.03,0.39,0.37,,,,0.65,1.0,1,1.0
0x25f853df52dd7c766b3bb85a90901dcd2ed88934,ONE,09-05 16:45,True,True,2.87,2.87,0.3,0.15,0.8,,,0.92,6.6,1,1.0
0xfd9f63e0ad101428e3a51538af94dc09182bb749,0xfd9f63,09-05 17:00,True,False,1.17,1.17,0.5,0.48,,,,0.94,2.2,1,1.0
0xdfad8b35dd49e11f83e5775c1460fef6f4822c38,0xdfad8b,09-05 18:54,True,False,2.39,2.39,0.26,0.24,1.0,,,1.16,2.3,1,1.0
0x08054e71f9f3ae4d9d7ff9d10db04d1995949cdd,POWER,09-05 19:09,True,True,7.93,7.93,0.38,0.26,0.3,14.6,32.9,0.38,50.5,1,1.0
0xe79f95f3d6bbe75e46b3737546eca9dd48d049db,ROGE,09-05 19:28,True,True,1.23,1.23,0.33,0.36,,,,0.66,6.8,1,1.0
0xd3ce739db3902b2ee24e2f1da76dda81f505a55d,CIS,09-05 19:59,True,True,1.69,1.69,0.42,1.66,,,,0.84,1.3,1,1.0
0xd1ec90b75e92fefcee0ab7cb5cd7ea8e114136f8,0xd1ec90,09-05 20:03,True,False,3.02,3.02,0.6,0.52,0.1,0.2,,,,0,0.0
0x78b96280c3347e0f58a7147b73eb0ec5ffff025d,RSTR,09-05 20:13,False,True,2.13,2.13,0.3,0.76,7.4,,,1.02,9.3,1,1.0
0x3f94b1df5622a451e665ace71f5cbc61571e78ec,0x3f94b1,09-05 20:20,True,False,2.38,2.38,0.83,0.83,0.2,,,0.9,1.2,1,1.0
0x677535078e666b109a37d3a4513b6185032824b1,0x677535,09-05 20:23,True,False,1.26,1.26,0.69,0.79,,,,0.72,1.4,1,1.0
0x1924c7d75031b0e8d4f31df30d54108550c3636a,0x1924c7,09-05 20:27,True,False,3.58,3.58,0.35,0.36,0.9,3.6,,1.2,9.8,1,1.0
0x07b21f34f9d332acb7f41feba6546234102824f9,0x07b21f,09-05 20:43,True,False,2.85,2.85,0.94,0.99,0.3,,,0.98,2.9,1,1.0
0xafe4ae244f2e585dd9ae76560ea71cc8c005318f,FLOW,09-05 20:45,False,True,3.35,1.17,0.91,0.78,69.5,85.5,,,,0,0.0
0xb650ccda123c796e9a5cbbd785d7e688b3732ad7,CLTX,09-05 20:47,True,True,12.91,12.91,0.27,0.19,2.8,7.0,8.0,1.74,11.7,2,0.62
0xb97eb49055cabb36625d3a85e272ec6205f4c579,0xb97eb4,09-05 21:05,True,False,1.19,1.19,0.52,0.52,,,,0.75,1.1,1,1.0
0x0884f8fdc4eef6a3151211679b8c2172f00e8db8,0x0884f8,09-05 21:07,True,False,1.28,1.28,0.57,0.54,,,,0.8,0.9,1,1.0
0x239386ac164a1b0923f339d75700e7c241f1f54d,0x239386,09-05 21:29,True,False,1.41,1.41,0.96,0.96,,,,,,0,0.0
0x20ee3d5a486506a66fd0e5c42176e5492fd2b3eb,Pon,09-05 21:35,True,True,10.1,10.1,0.53,0.64,0.3,0.4,0.7,4.68,8.4,6,0.92
0xd846a36cfdb1bc85d7be6e70fa54a1d9e9d79028,0xd846a3,09-05 22:00,True,False,1.58,1.58,0.55,0.55,,,,0.62,2.8,1,1.0
0x27c2c9cb75255efc158ccf6fd31c92552e04d081,RobinhoodieLife,09-05 22:10,False,True,1.0,1.0,0.55,0.51,,,,,,0,0.0
0x97d24475bd9aa46f1baffc839d9f85b58e8fd87f,0x97d244,09-05 22:25,True,False,2.17,2.17,0.6,0.6,1.3,,,0.71,2.6,1,1.0
0x97cbd22c001776c40c1470322dfba2bc105479e3,GG,09-05 22:33,False,True,1.01,1.01,0.98,0.98,,,,0.98,1.4,1,1.0
0x4d742a13d9d88e87dfef97d6c32c1d5c661b2252,0x4d742a,09-05 22:34,True,False,6.45,6.45,0.67,0.75,0.8,1.0,1.7,0.9,5.7,1,1.0
0xa981384bebd540f770b05a449328ff257c468348,FRANK,09-05 22:55,True,True,7.3,7.3,0.73,1.93,0.1,0.6,0.6,,,0,0.0
